trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-119.27748474958713,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,0,-188.2090909727495,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8429431933839266}",20,0,-60.69046216463555,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,4,-59.88328141656174,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.8261686238355865}",35,0,-199.21473760724538,"{0: 23, 1: 0, 2: 8, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8179069375972307}",30,0,-253.37856409222096,"{0: 15, 1: 1, 2: 9, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.8097278682212583}",20,0,-150.28824502948856,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8016305895390458}",25,0,-40.100450415813775,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.7936142836436553}",20,13,-56.380176426355696,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-42.084070574612674,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7778213593991465}",25,0,-46.107199157138545,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-55.357752283556835,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-124.95241004603204,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-180.17333168164527,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7471720943315961}",35,0,-92.3350086717933,"{0: 26, 1: 5, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7397003733882802}",35,13,-171.02106080304495,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 3}",1
30,False,"{'a': 0.5, 'e': 0.7323033696543974}",25,0,-78.98703785686999,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,0,-81.26119040569941,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7177305325982748}",20,0,-83.48744723700547,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-30.892121354565617,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-40.36612576993553,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
